league,id,minute,result,X,Y,xG,player,h_a,player_id,season,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,is_goal,X_m,Y_m,shot_distance,shot_angle,dist2,angle2,angle_distance,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,situation_FromCorner,situation_OpenPlay,situation_Penalty,situation_SetPiece,lastAction_BallRecovery,lastAction_BallTouch,lastAction_BlockedPass,lastAction_Card,lastAction_Challenge,lastAction_ChanceMissed,lastAction_Chipped,lastAction_Clearance,lastAction_CornerAwarded,lastAction_Cross,lastAction_CrossNotClaimed,lastAction_Dispossessed,lastAction_End,lastAction_Error,lastAction_FormationChange,lastAction_Foul,lastAction_Goal,lastAction_GoodSkill,lastAction_HeadPass,lastAction_Interception,lastAction_KeeperPickup,lastAction_KeeperSweeper,lastAction_LayOff,lastAction_OffsidePass,lastAction_OffsideProvoked,lastAction_Pass,lastAction_PenaltyFaced,lastAction_Punch,lastAction_Rebound,lastAction_Save,lastAction_ShieldBallOpp,lastAction_Standard,lastAction_Start,lastAction_SubstitutionOn,lastAction_Tackle,lastAction_TakeOn,lastAction_Throughball,predicted_xg
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,422829.0,47.0,SavedShot,0.78,0.3429999923706055,0.0237428992986679,Hakan Calhanoglu,h,189.0,2020.0,15788.0,AC Milan,Cagliari,0.0,0.0,2021-05-16 18:45:00,Brahim Diaz,0,81.9,23.323999481201177,25.447730489719365,0.43292377290856093,647.5869870773926,0.18742299314938324,11.01692749556953,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.023782504626915647
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,356138.0,58.0,MissedShots,0.8480000305175781,0.46,0.1324869990348816,Stefano Sensi,h,1465.0,2019.0,13291.0,Inter,Cagliari,1.0,1.0,2020-01-26 11:30:00,Lautaro Martínez,0,89.0400032043457,31.28,16.190117285470656,0.16880425896437595,262.1198977172957,0.0284948778445121,2.732960750920208,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1577658983678869
Serie_A,337572.0,69.0,BlockedShot,0.9280000305175782,0.3060000038146973,0.090457797050476,Cristiano Ronaldo,h,2371.0,2019.0,13245.0,Juventus,Udinese,3.0,1.0,2019-12-15 14:00:00,Gonzalo Higuaín,0,97.44000320434571,20.808000259399414,15.204683775281516,1.0504104214871268,231.182408706309,1.1033620535687634,15.971158292971936,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04819990169978574
Ligue_1,324337.0,20.0,BlockedShot,0.899000015258789,0.5579999923706055,0.1156219989061355,Ludovic Ajorque,a,6905.0,2019.0,12790.0,Dijon,Strasbourg,1.0,0.0,2019-10-05 19:00:00,,0,94.39500160217285,37.943999481201175,11.314641970722338,0.356050143808583,128.02112292563146,0.12677170490611264,4.028579900818317,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.24820004828550515
Ligue_1,285913.0,47.0,SavedShot,0.87,0.5670000076293945,0.4375439882278441,Aleksandr Golovin,a,2897.0,2018.0,10929.0,Lille,Monaco,0.0,1.0,2019-03-15 19:45:00,Rony Lopes,0,91.35,38.556000518798825,14.390262010376855,0.3221461408083731,207.07964072729533,0.10377813603772816,4.635767371864245,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.1582268374978377
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
